JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Executive Assistant,Mimo,Dubai,"Supporting Chief Executive Officer and C-level executives on daily business.
Supporting executive in preparing for meetings.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=94b131dda81a7026&fccid=d0f6ed4f30765178&vjs=3
Sales & Pricing Coordinator,We Search 360,Dubai,"Good command of MS Office.
Experience in Pricing / Product / Supply & demand.
Excellent communication skills, including writing, proof reading, and speaking.",,Just posted,https://ae.indeed.com/company/We-Search-360/jobs/Sales-Pricing-Coordinator-f3070da52c127b85?fccid=1be79cb3a0e5b423&vjs=3
Assistant Financial Controller (Joinery & Fitout),ANOC,Ajman,"Proven experience as assistant controller or other similar position.
Support most aspects of accounting management (AP/AR, reporting etc.).",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e9db825ca041eacd&fccid=9b78c219bdf39d2f&vjs=3
"Site Accounting Assistant in Dubai, UAE",Omni International,Dubai," Bachelor's Degree in Accountancy.
 Preferably Certified Public Accountant and ACCA qualified.
 Solid Knowledge and Experience in General Accounting and VAT.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=5840995000ef49ba&fccid=eb525ce63ed76336&vjs=3
Marketing and Sales Coordinator (Tagalog Speaking ),careersbay,Dubai,"Minimum 4-6years experience having worked in sales or marketing department in any industrial/commercial industry, preferable in the HVAC aftermarket.",,21 days ago,https://ae.indeed.com/company/careersbay/jobs/Marketing-Sales-Coordinator-2cee9045ffd3f433?fccid=5613ef16683d8fa5&vjs=3
Light Vehicle Driver,R S K SECURITY SERVICES,Dubai,Looking for office assistant cum driver main job responsibilities are staff pick and drop from sites and some office routine work.,,26 days ago,https://ae.indeed.com/company/R-S-K-SECURITY-SERVICES/jobs/Light-Vehicle-Driver-b9004793ec13e51c?fccid=c1983eae1e4b9c3b&vjs=3
HR & Administrative Assistant - Arabic/French Speaker,Vertex Consulting,Dubai,"Keep a record of all official documents concerned with the company’s offices (.
Supervisor & Director will elaborate on the company’s human resources strategy…",,21 days ago,https://ae.indeed.com/company/Vertex-Consulting/jobs/Human-Resource-Administrative-Assistant-0ed03e7012adb4f7?fccid=378f3c78067a7cd9&vjs=3
Nursery Nurse,Jumeriah International Nurseries - Dubai,Dubai,"This position would involve performing the duties of a teaching assistant in a class.
Qualified Female Nursery Nurse aged 25-45 years.",,5 days ago,https://ae.indeed.com/company/Jumeriah-International-Nurseries---Dubai/jobs/Nursery-Nurse-4b119b6b883c5bc8?fccid=26791c03a4225b37&vjs=3
French Bread Baker,Leading Bakeries,Dubai,The main purpose of the Head Baker position is to oversee the preparation and service of all baked goods (European breads and country breads) for small and…,,8 days ago,https://ae.indeed.com/company/Leading-Bakeries-LLC/jobs/French-Bread-Baker-4b7c6f0de897eb7a?fccid=d6205b7411f14351&vjs=3
ASSISTANT ACCOUNTANT,Right Search HR Consultancy,Abu Dhabi,"Bachelor’s Degree in Accounting or any related course.
Minimum of 2 years’ experience.
Expert knowledge in data entry and Microsoft Office.",,22 days ago,https://ae.indeed.com/company/Right-Search-HR-Consultancy/jobs/Assistant-Accountant-0d756348bedc4bd1?fccid=57c734b80614c8d4&vjs=3
Marketing Assistant (FEMALE ONLY - GERMAN SPEAKER PREFERRED),Iconic Middle East Ltd.,Dubai International Financial Center,"Formulating marketing strategies and plans.
Responsible for promotion activities and publicity work.
Using of various promotion methods and rules in social…",,10 days ago,https://ae.indeed.com/company/Iconic-Middle-East-Investment/jobs/Marketing-Assistant-01a4998b7d3a046c?fccid=ca4314419a6d3ead&vjs=3
Female Pelvic and Reconstructive Surgeon,Search Plus HR,Remote,"If maintaining a private office, hire and supervise administrative and medical staff, and oversee finances;
Meet with a patient to learn complaints, symptoms,…",,4 days ago,https://ae.indeed.com/rc/clk?jk=9bc680687328f00a&fccid=618066ca5559b1d4&vjs=3
Digital Marketing Specialist,Seolane,Dubai,"2️⃣ Training will be: 6 to 12 months in Georgia, then the position will be opened in Dubai and/or Abu Dhabi.
- Main missions: *Online & Offline Marketing.",,5 days ago,https://ae.indeed.com/company/Seolane/jobs/Digital-Marketing-Specialist-e4676f16e2043e53?fccid=f08c4433b1d992b9&vjs=3
Administrative Assistant,Nationwide Middle East Properties LLC,Dubai,"Maintain and order office supplies.
Administrative assistant: 1 year (Preferred).
Experience in Crm/Zoho/Prop space/ listings/handling reception/familiar Ejari…",,Just posted,https://ae.indeed.com/company/Nationwide-Middle-East-Properties-LLC/jobs/Administrative-Assistant-b6ddf9bf68312b79?fccid=c6b7cdaa06fc859e&vjs=3
Office Secretary,Modern Interior Technology,Dubai,"Familiarity with office organization and optimization techniques.
Check frequently the levels of office supplies and place appropriate orders.",,Today,https://ae.indeed.com/company/Modern-Interior-Technology/jobs/Office-Secretary-c7f82a1178780e6e?fccid=2b1dda0cc43936cb&vjs=3
HR Assistant,Gettech Software Solutions,Dubai,The ideal candidate will support the full scope of Human Resources responsibilities and partner with the organization on strategic initiatives.,,Today,https://ae.indeed.com/company/Gettech-Software-Solutions/jobs/Human-Resource-Assistant-2cb6b91633af6d9e?fccid=dd616958bd9ddc12&vjs=3
Office Assistant / Office Boy,Trovec Management Consultancy,Dubai,"Coordinate activities and disseminate information to office staff.
Operate office equipment such as photocopiers and fax machines and related Items.",,Today,https://ae.indeed.com/company/Trovec-Management-Consultancy/jobs/Office-Assistant-a60365babc879d6c?fccid=30ea59f4c9f72189&vjs=3
Receptionist / Admin Assistant,canadian veterinary clinic,Abu Dhabi,"The ideal candidate is a detail-oriented team player who will be the first point of contact for visitors at the office, greeting them in a polite and well…",,Today,https://ae.indeed.com/company/canadian-veterinary-clinic/jobs/Receptionist-c6227faa1ef3ef3b?fccid=37bfe6667ac0eed1&vjs=3
Office Assistant / Office Boy,Bin Shabib Group,Dubai,"Office aide: 1 year (Preferred).
Maintain the general cleanliness of the office and meeting room.
Basic administrative duties, such as serving beverages to the…",,Today,https://ae.indeed.com/company/BIN-SHABIB-GROUP/jobs/Office-Assistant-d563353bf127ff11?fccid=7af69610defd1068&vjs=3
Receptionist,Sports and Fitness,Dubai,"Willingness and ability to occasionally work outside normal office hours.
She shall also assist internal and external customers of the club by handling office…",,Today,https://ae.indeed.com/company/Sports-and-Fitness/jobs/Receptionist-da4461f750c003e2?fccid=f1de43e02279c6bc&vjs=3
Office Assistant / Office Boy,DAS Collection LLC,Dubai,"Office assistant: 1 year (Preferred).
Make sure the office & production premise is clean.
Responsible for removing trash in office areas and non-production…",,Today,https://ae.indeed.com/company/DAS-Collection-LLC/jobs/Office-Assistant-2f66e1e343fb4f96?fccid=b2b9c3d4194af2aa&vjs=3
Office Assistant,CBD Accounting & Tax Consultant,Dubai,"Proven experience as office assistant or in another relevant administrative role.
Working knowledge of office equipment.
Job Types: Full-time, Contract.",,1 day ago,https://ae.indeed.com/company/CBD-Accounting-&-Tax-Consultant/jobs/Office-Assistant-70d74a04e2df3e20?fccid=8b7c83314dfc6b2b&vjs=3
EXECUTIVE SECRETARY CUM OFFICE ASSISTANT,LS DESIGN,Dubai,"Ensures adequate supplies for stationary, equipment and pantry supplies for the office.
Management of company email, coordination and correspondence to…",,1 day ago,https://ae.indeed.com/company/LIGHT-SPACE-DESIGN/jobs/Executive-Secretary-Cum-Office-Assistant-721ab46d7784eb47?fccid=dc61dc3398112fbb&vjs=3
HR & Admin Assistant,Nadia Global,Abu Dhabi,"Leave Entitlements and Leave settlement.
Working Experience - 5-10 Years work experience in HR Department.
Qualification - Bachelor in HR or Diploma in HR.",,1 day ago,https://ae.indeed.com/company/Nadia-Global/jobs/Human-Resource-Admin-Assistant-3a08e6d2927360f6?fccid=ec74626bafb37b24&vjs=3
Administrative Assistant Female,Oasis Metal Manufacturing LLC,Dubai,"Administrative assistant: 2 years (Preferred).
Working closely with the team and provide support.
To produce letters, reports and other documents as required…",,1 day ago,https://ae.indeed.com/company/Oasis-Metal-Manufacturing-LLC/jobs/Administrative-Assistant-Female-bb2131ebfd128d7a?fccid=4f711be251ed6182&vjs=3
"Admin Assistant / Accounts Receivable (Pilipino, Female only)",Hydro Water Sport,Dubai,"Is in charge of all Administration works of the Department, and organizes as much as possible the clerical procedures to facilitate The Finance Department day…",,1 day ago,https://ae.indeed.com/company/Hydro-Water-Sport/jobs/Admin-Assistant-4a76a68feae10e28?fccid=78033164d764133a&vjs=3
Warehouse Assistant,Ramy Trading Co. LLC,Dubai,"Receive all inbound shipments and ensure all item are correct based on invoice sent by supplier.
Offload shipments from container and 3PL vehicles.",,1 day ago,https://ae.indeed.com/company/Ramy-Trading-Co.-LLC/jobs/Warehouse-Assistant-94b3b1adceb5d98b?fccid=ab66b5d08b08fe57&vjs=3
HR Assistant,Holistic Medical Centre,Abu Dhabi,"To provide successful administrative support and office systems within the organization.
To manage all Human Resource functions such as recruitment,…",,1 day ago,https://ae.indeed.com/company/Holistic-Medical-Centre/jobs/Human-Resource-Assistant-5fe41c1ff653020c?fccid=13bb396dcf4a2a3f&vjs=3
Receptionist/Office Assistant,YOG International General Trading LLC,Dubai,"Job require to handle the reception area deal with basic back-office work and able to manage phone call from around the globe.
Job Types: Full-time, New-Grad.",,1 day ago,https://ae.indeed.com/company/YOG-International-General-Trading-LLC/jobs/Receptionist-Office-Assistant-43813b5f3a82c0b6?fccid=e444b3afbdcd7d6f&vjs=3
HR Assistant,Saif Investments L.L.C,Dubai,"Assisting clients in finding their way around the office.
Greet clients and visitors with a positive, helpful attitude.
Preparing meeting and training rooms.",,2 days ago,https://ae.indeed.com/company/Saif-Investments-L.L.C/jobs/Human-Resource-Assistant-1542dcf267cf2d91?fccid=41f0858854afb410&vjs=3
